"","mean","sd","2.5%","97.5%","rhat","ess_bulk","modelLabel"
"p[68]",0.8256159375,0.0307870979815353,0.763038525,0.881260375,1.00512509728036,5718.20437820831,"massa target loc - Figure 4C"
"p[69]",0.692795505,0.035765533134656,0.6238513,0.758519125,1.0042582103306,3709.90597138589,"massa target loc - Figure 4C"
"p[70]",0.8153657715,0.0309243065185319,0.753941525,0.872012325,1.00334469288249,3569.00521932367,"massa target loc - Figure 4C"
"p[71]",0.407495753,0.0383513833629495,0.332769625,0.4840564,1.00153378617829,4249.55704237798,"massa target loc - Figure 4C"
"p[72]",0.657566897,0.0378421722164231,0.581535025,0.73015825,1.00557559646339,3424.59074906206,"massa target loc - Figure 4C"
"a",3.120872745,0.552060924796492,2.137437,4.33620425,1.00053961473215,1738.59179418322,"massa target loc - Figure 4C"
"b",1.5243460655,0.250172507490328,1.07918675,2.05896575,1.00096685040772,1750.80541964664,"massa target loc - Figure 4C"
"p[1]1",0.8029400425,0.0444855713683625,0.707826775,0.879957825,1.00037361683441,2271.76532927151,"grubb li target loc - Figure 4F"
"p[2]1",0.8355455015,0.0401226132972031,0.750809225,0.9064443,1.00083471331879,2769.9634449462,"grubb li target loc - Figure 4F"
"p[3]1",0.799971407,0.0415711876517948,0.71294245,0.87273245,1.00379142882753,2582.92509488073,"grubb li target loc - Figure 4F"
"p[4]1",0.292627641,0.0490964231712782,0.200290425,0.397794575,1.00667194499561,2903.74013148855,"grubb li target loc - Figure 4F"
"p[5]1",0.9055376815,0.0322421402918348,0.834130625,0.956973225,1.00424941185734,3310.44801899723,"grubb li target loc - Figure 4F"
"p[6]1",0.317282685,0.0519748137356567,0.2184084,0.421048,1.00097916036885,2602.38576299284,"grubb li target loc - Figure 4F"
"p[7]1",0.8115387925,0.0420110111846147,0.723025,0.887226925,0.9999723159634,2922.14297951083,"grubb li target loc - Figure 4F"
"p[8]1",0.24625619025,0.0463309021527839,0.159700925,0.33908905,1.00544441297717,2294.42355927124,"grubb li target loc - Figure 4F"
"p[9]1",0.6589551575,0.0510562299462255,0.555485025,0.75291445,1.00202675787576,3735.50073622861,"grubb li target loc - Figure 4F"
"p[10]1",0.69326446,0.0500116600560327,0.594980125,0.787488025,0.99892754891031,2910.23541951111,"grubb li target loc - Figure 4F"
"p[11]1",0.6360060495,0.052966721937689,0.5309788,0.734154475,1.00128466093708,2948.97314964579,"grubb li target loc - Figure 4F"
"p[12]1",0.5860270335,0.0527782230589758,0.48177425,0.6864504,1.00121845188739,2875.51673260335,"grubb li target loc - Figure 4F"
